product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Cheddar,<NA>,McDonald's,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:cheeses-from-the-united-kingdom,en:cheeses-from-england,en:sliced-cheeses,en:cheddar-cheese,en:cheddar-slices",en:cheddar-slices,Cheddar slices,,<na>,"en:denmark,en:france,en:norway,en:poland,en:spain,en:sweden,en:united-kingdom",<na>,,c,
Mayonnaise Mayo Light Big Mouth Jar,<NA>,Kraft,,,,,<na>,en:denmark,<na>,,unknown,
Caramel Macchiato High Protein Coffee Drink,<NA>,Dr. Ortker,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees",en:coffees,Coffees,,<na>,en:denmark,<na>,,unknown,
Skyrdrik,<NA>,Cheasy skyrdrik,,,,,<na>,en:denmark,<na>,,unknown,
Salt and Pepper Ribs,<NA>,Co-op Gold,,,,,<na>,en:denmark,<na>,,unknown,
Carls junior dobbel cheeseburger,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Ice cream cake,<NA>,Oreo,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes",en:cakes,Cakes,,<na>,en:denmark,<na>,,unknown,
Ovnbagte Chips Sourcream &Onion,<NA>,Taffel,,,,,<na>,en:denmark,<na>,,unknown,
schokolade,<NA>,Lindt,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:cocoa-and-chocolate-powders,en:dark-chocolates,en:cocoa-powders",en:cocoa-powders,Cocoa powders,,<na>,en:denmark,<na>,,f,
Ananas in Scheiben,<NA>,Del monte,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:canned-plant-based-foods,en:fruits-based-foods,en:fruits,en:canned-fruits,en:tropical-fruits,en:pineapple,en:canned-fruits-in-juice,en:canned-pineapples,en:pineapple-in-juice",en:pineapple-in-juice,Pineapple in juice,"en:vegetarian,en:vegan,en:no-added-sugar",<na>,"en:belgium,en:denmark,en:france,en:germany,en:spain,en:united-states",<na>,,a,
Parboiled Sella Basmati Rice,<NA>,Mr. Gourmet,,,,,<na>,en:denmark,<na>,,unknown,
Honey,<NA>,Coop,,,,,<na>,en:denmark,<na>,,unknown,
Chicken And Beef Burger,<NA>,Tahira,,,,,<na>,en:denmark,<na>,,unknown,
choco-oat Mursli,<NA>,Crownfield,,,,"en:fsc,en:fsc-mix,en:rainforest-alliance",<na>,en:denmark,<na>,,unknown,
Højrebsbøf,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Russin,<NA>,ARVID NORDQUIST NORGE AS,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:raisins",en:raisins,Raisins,en:no-gluten,<na>,"en:denmark,en:sweden",<na>,,b,
Rosiner,<NA>,Sun-Maid,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:raisins",en:raisins,Raisins,,<na>,en:denmark,<na>,,b,
Super blends shine,<NA>,Pickwick,,,,,<na>,en:denmark,<na>,,unknown,
Casa Di Mama,<NA>,Dr Oetker,,,,,<na>,en:denmark,<na>,,unknown,
HP Sauce (The Original),<NA>,HP Foods,,,,en:green-dot,<na>,en:denmark,<na>,,unknown,
Crispy Stocks,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Crème Fraiche,<NA>,Karolines Køkken,,,,,<na>,en:denmark,<na>,,unknown,
No Sugar Added Ketchup Style Sauce,<NA>,Heinz,"en:condiments,en:sauces,en:tomato-sauces,en:ketchup",en:ketchup,Ketchup,"en:kosher,en:orthodox-union-kosher",<na>,"en:canada,en:denmark,en:france",<na>,,b,
Basil Pesto,<NA>,Classico,"en:condiments,en:sauces,en:pestos,en:green-pestos",en:green-pestos,Green pestos,,<na>,"en:canada,en:denmark,en:france",<na>,,d,
Mixed legumes,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Mozzarella,<NA>,Galbani,,,,,<na>,en:denmark,<na>,,unknown,
"Gold D'or, Cottage Cheese - Coop - Coop - Coop",<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Pita bread,<NA>,Pita bread factory,,,,,<na>,en:denmark,<na>,,unknown,
Turkey Harvest Salad,<NA>,Trader Joe's,,,,,<na>,en:denmark,<na>,,unknown,
Fior di Frutta Himbeere,<NA>,Rigoni di Asiago,,,,"en:organic,en:eu-organic,de:eg-öko-verordnung",<na>,en:denmark,<na>,,unknown,
"Gum, Sugar Free, Strawberry with Kiwi",<NA>,Trident,"en:snacks,en:sweet-snacks,en:confectioneries,en:chewing-gum,en:sugar-free-chewing-gum",en:sugar-free-chewing-gum,Sugar-free chewing gum,,<na>,en:denmark,<na>,,unknown,
Grape tomatoes,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Gnocchi Pomodoro & Mozzarella,<NA>,Rana,,,,,<na>,en:denmark,<na>,,unknown,
Biscuits/Cookie TRADITION 1905 (2X37g),<NA>,LECLERC,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",en:biscuits,Biscuits,,<na>,en:denmark,<na>,,d,
Black Pepper Lentil Crackers,<NA>,Shalini,"en:snacks,en:salty-snacks,en:appetizers,en:biscuits-and-crackers,en:crackers-appetizers",en:crackers-appetizers,Crackers(Appetizers),,<na>,en:denmark,<na>,,b,
Proteinbar,<NA>,Corny,,,,,<na>,en:denmark,<na>,,unknown,
6 Wheat Pita Bread,<NA>,Hyvee,,,,,<na>,en:denmark,<na>,,unknown,
Baby Me Now,<NA>,Solaray,,,,,<na>,en:denmark,<na>,,unknown,
Magnesium Citrat,<NA>,Solaray,,,,"en:vegetarian,en:vegan",<na>,en:denmark,<na>,,unknown,
Magnesium Glycenate,<NA>,Solaray,,,,,<na>,en:denmark,<na>,,unknown,
Danish luxury cookies,<NA>,,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,it:biscotti-danesi",it:biscotti-danesi,it:biscotti-danesi,en:green-dot,<na>,"en:austria,en:denmark,en:italy",<na>,,c,
Plantain Chips,<NA>,Tropical Gourmet,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:dried-bananas",en:dried-bananas,Dried bananas,,<na>,"en:denmark,en:switzerland",<na>,,e,
Cream Cheese,<NA>,Délices Cheese,,,,,<na>,en:denmark,<na>,,unknown,
Hakket oksekød 8-12%,<NA>,Føtex,,,,,<na>,en:denmark,<na>,,unknown,
Pretzel Smoky,<NA>,Hot Ones,,,,,<na>,en:denmark,<na>,,unknown,
Sriracha Hot Chilli Sås,<NA>,"Flying Goose,Flying Goose Brand,Royal,Tang Frères","en:condiments,en:sauces,en:hot-sauces,en:sriracha-sauces,en:groceries",en:groceries,Groceries,"en:vegetarian,en:no-gluten,en:halal,en:no-gmos,en:vegan",<na>,"en:denmark,en:france,en:sweden,en:united-kingdom,en:united-states",<na>,,unknown,
Panettone Classico,<NA>,Trader Giotto's,,,,,<na>,en:denmark,<na>,,unknown,
90g Carb Gel,<NA>,Precision Fuel,,,,,<na>,en:denmark,<na>,,unknown,
The P!k Bix,<NA>,Haribo,,,,,<na>,en:denmark,<na>,,unknown,
Sesam Knækbrød,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Burgerboller,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Ost - coop 365,<NA>,Mellemlageret 45+,,,,,<na>,en:denmark,<na>,,unknown,
Begge,<NA>,Dolmio,,,,,<na>,en:denmark,<na>,,unknown,
Pommes Gigante,<NA>,Princip Salling,,,,,<na>,en:denmark,<na>,,unknown,
Butterdej,<NA>,Smart Cooking,,,,,<na>,en:denmark,<na>,,unknown,
Chili Peanuts Crunchy,<NA>,Sereno,,,,,<na>,en:denmark,<na>,,unknown,
Pølsehornspølser,<NA>,Coop,,,,,<na>,en:denmark,<na>,,unknown,
Avocado oil,<NA>,mythical flavors TRUVA,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:vegetable-fats,en:vegetable-oils,en:fruit-and-fruit-seed-oils,en:avocado-oils,en:coconut-oils",en:coconut-oils,Coconut oils,,<na>,"en:denmark,en:united-kingdom",<na>,,e,
Tender Beef Jerky Hot,<NA>,Circle K,,,,,<na>,en:denmark,<na>,,unknown,
Crispy Coated Peanuts,<NA>,Circle K,,,,,<na>,en:denmark,<na>,,unknown,
Applesauce,<NA>,Karibu,,,,,<na>,en:denmark,<na>,,unknown,
Berberine Andebryststeg Med Ben,<NA>,Salling Princip,,,,,<na>,en:denmark,<na>,,unknown,
Pop candy blueberry flavour,<NA>,Flying Tiger,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies",en:candies,Candies,fr:fabrique-en-chine,<na>,"en:denmark,en:france,en:norway,en:sweden",<na>,,c,
Bitter gelly boats,<NA>,Tiger,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons",en:bonbons,Bonbons,,<na>,en:denmark,<na>,,unknown,
Sour & fizzy boiled sweets,<NA>,Tiger,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies",en:candies,Candies,,<na>,en:denmark,<na>,,c,
Cynamon,<NA>,Flying Tiger Copenhagen,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spices,en:cinnamon,en:cinnamon-sticks",en:cinnamon-sticks,Cinnamon sticks,,<na>,"en:czech-republic,en:denmark,en:estonia,en:finland,en:latvia,en:lithuania,en:norway,en:poland,en:romania,en:slovakia,en:sweden",<na>,,f,
Menthol extra strong,<NA>,,,,,,<na>,"en:denmark,en:germany",<na>,,unknown,
dr.oetker,<NA>,Dr. Oetker,,,,,<na>,en:denmark,<na>,,unknown,
Hummus spicy with red pepper,<NA>,chef select,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spreads,en:plant-based-spreads,en:salted-spreads,en:sauces,en:dips,en:hummus,en:red-pepper-hummus",en:red-pepper-hummus,Red pepper hummus,"en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan",<na>,en:denmark,<na>,,a-plus,
Mesterpålæg Roastbeef,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
nutella,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Country style ribs,<NA>,Walmart,,,,,<na>,en:denmark,<na>,,unknown,
Svampe Risotto,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
七種具材の彩り海鮮丼,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:seafood,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:meals,en:cereal-grains,en:rices,en:sushi-rice",en:sushi-rice,Sushi rice,,<na>,en:denmark,<na>,,f,
Kyllinge Pølse,<NA>,Leve vis,,,,en:keyhole,<na>,en:denmark,<na>,,unknown,
Kalkunspegepølse,<NA>,Levevis,"en:meats-and-their-products,en:prepared-meats,fr:charcuteries-cuites,en:poultry-hams,en:cooked-turkey-breast-slices",en:cooked-turkey-breast-slices,Cooked turkey breast slices,en:keyhole,<na>,en:denmark,<na>,,e,
Sandwichskinke,<NA>,Egelykke,"en:meats-and-their-products,en:meats,en:prepared-meats,en:hams",en:hams,Hams,en:keyhole,<na>,en:denmark,<na>,,unknown,
Æbleskiver Dybfrosne,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Græskarrugbrød,<NA>,Bilka,,,,,<na>,en:denmark,<na>,,unknown,
Fastelavnsbolle Med 16% Flødecreme,<NA>,Bilka Bager,,,,,<na>,en:denmark,<na>,,unknown,
Drømmekage,<NA>,Føtex bager,,,,,<na>,en:denmark,<na>,,unknown,
Finvalsede Havregryn,<NA>,Coop,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:breakfast-cereals,en:cereal-grains,en:flakes,en:cereal-flakes,en:rolled-flakes,en:rolled-oats,en:oat",en:oat,Oat,"en:organic,en:keyhole,en:eu",<na>,en:denmark,<na>,,b,
Organic butter beans,<NA>,Irmas Hverdag,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:legumes-and-their-products,en:legumes,en:seeds,en:vegetables-based-foods,en:legume-seeds,en:vegetables,en:pulses,en:butter-beans",en:butter-beans,Butter beans,"en:organic,en:eu-organic,en:fsc,en:fsc-mix,en:it-bio-009,en:keyhole",<na>,en:denmark,<na>,,a-plus,
Emmentaler,<NA>,COOP,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:hard-cheeses,en:emmentaler",en:emmentaler,Emmentaler,,<na>,en:denmark,<na>,,d,
gifflar,<NA>,pågen,,,,,<na>,en:denmark,<na>,,unknown,
Ranch Lentil Rings,<NA>,Pändy,,,,"en:vegetarian,en:vegan",<na>,en:denmark,<na>,,unknown,
Princip glaze,<NA>,Princip,da:marinade,da:marinade,da:marinade,,<na>,en:denmark,<na>,,unknown,
remoulade,<NA>,365,da:remoulade,da:remoulade,da:remoulade,,<na>,en:denmark,<na>,,unknown,
Små Økologiske Kartofler,<NA>,Gram Slot,,,,,<na>,en:denmark,<na>,,unknown,
Minimælk,<NA>,Egelykke,"en:dairies,en:milks-liquid-and-powder,en:milks,en:cow-milks",en:cow-milks,Cow milks,,<na>,en:denmark,<na>,,d,
protein chocolate,<NA>,arla,"en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:fermented-milk-drinks,en:yogurts,en:dietary-supplements,en:yogurt-drinks,en:bodybuilding-supplements,en:protein-shakes",en:protein-shakes,Protein shakes,en:no-lactose,<na>,en:denmark,<na>,,e,
Protein Bar Cookie Dough,<NA>,ICA,,,,,<na>,en:denmark,<na>,,unknown,
rofiola nonno nanni,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Mhamad Nasree,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Mørbrad Gris,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Torpedorejer,<NA>,Rema 1000,,,,"en:responsible-aquaculture,en:responsible-aquaculture-asc",<na>,en:denmark,<na>,,unknown,
Hvide Skrællede Aspargesnitter,<NA>,Mikado,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:vegetables-based-foods,en:canned-plant-based-foods,en:vegetables,en:canned-vegetables,en:vegetable-rods,en:asparagus,en:white-asparagus,en:canned-asparagus,en:canned-white-asparagus",en:canned-white-asparagus,Canned white asparagus,,<na>,en:denmark,<na>,,b,
Mozzarella Klump,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Kiełbasa Toruńska,<NA>,JBB,,,,,<na>,en:denmark,<na>,,unknown,
Vanilla Strawberry Swirl,<NA>,Kramers,"en:desserts,en:frozen-foods,en:frozen-desserts",en:frozen-desserts,Frozen desserts,,<na>,en:denmark,<na>,,unknown,
Legumes pour wok,<NA>,Picard,,,,,<na>,en:denmark,<na>,,unknown,
Thon blanc,<NA>,Carrefour,,,,,<na>,en:denmark,<na>,,unknown,
Forcapil,<NA>,Arkopharma,,,,,<na>,en:denmark,<na>,,unknown,
Rustica,<NA>,Marque Repère,,,,,<na>,en:denmark,<na>,,unknown,
Vinaigrette aux fines herbes allégées,<NA>,U,,,,,<na>,en:denmark,<na>,,unknown,
Épinards surgelés,<NA>,Leclerc,,,,,<na>,en:denmark,<na>,,unknown,
Pipoca chocolate,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Tofu Lactofermente Pesto,<NA>,Sojami,,,,,<na>,en:denmark,<na>,,unknown,
Multiseed bread,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Cadbury yoghurt frutilla chocolate,<NA>,Cadbury,,,,,<na>,en:denmark,<na>,,unknown,
Hvidløgs Baguette,<NA>,Salling Princip,,,,,<na>,en:denmark,<na>,,unknown,
Flødeboller (Små),<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Bagerens Pizzadej,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Tango Nestlé,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Carottes apéro,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Legendary bbq chips,<NA>,Legendary,,,,,<na>,en:denmark,<na>,,unknown,
Croustillants de limande,<NA>,Bru au,,,,,<na>,en:denmark,<na>,,unknown,
Cheerywine drink,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Collagen Peptites,<NA>,Great Lakes Wellness,,,,,<na>,en:denmark,<na>,,unknown,
Meat-Free Meatballs,<NA>,Plant Based by ASDA,,,,,<na>,en:denmark,<na>,,unknown,
Stenger Cola-Bembel,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Son  d’avoine,<NA>,Gerblé,,,,,<na>,en:denmark,<na>,,unknown,
Energy drink morango e pêssego - Baly - Baly - Baly - Baly,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Cake citron courgettes,<NA>,Pokawa,,,,,<na>,en:denmark,<na>,,unknown,
Dumping a la vapeur - Bibigo,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Avoine et brisure de chocolat - Complimentd,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Cake myrtille,<NA>,Poulaillon,,,,,<na>,en:denmark,<na>,,unknown,
Chiquetailles de hareng-saur,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Kokosový krém s kakaem,<NA>,Big boy,,,,,<na>,en:denmark,<na>,,unknown,
Protéines banane fraiss,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Kibe,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Grainea,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Whey morango,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Whole grain corn chips,<NA>,Conutz,,,,,<na>,en:denmark,<na>,,unknown,
Pingo Bell - Doces Belmonte,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Pâte à tartiner aux amandes,<NA>,So vegan so fine,,,,"en:vegetarian,en:vegan",<na>,en:denmark,<na>,,unknown,
Granola light,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Requeijão,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Splash Protein Drink,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
"Files de sardines  (citron et basilic, sans huile)",<NA>,Saupiquet,,,,en:no-artificial-flavors,<na>,en:denmark,<na>,,unknown,
Pâte feuilletée sans gluten,<NA>,Biobleud,,,,en:no-gluten,<na>,en:denmark,<na>,,unknown,
Ayran (tam yağlı),<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Mango plátky bez so2,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Whey,<NA>,Black Saulo,,,,,<na>,en:denmark,<na>,,unknown,
Pão de queijo congelado tradicional,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Lomo adobado,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Barra de proteína,<NA>,Nutrata,,,,,<na>,en:denmark,<na>,,unknown,
Chocolate latte,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Filet de sardines,<NA>,Pêche ocean,,,,,<na>,en:denmark,<na>,,unknown,
Salakis basilic,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Ildefonso,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
bastogne,<NA>,lu,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:dry-biscuits",en:dry-biscuits,Dry biscuits,,<na>,en:denmark,<na>,,c,
Arizona Green Tea,<NA>,Arizona,,,,,<na>,en:denmark,<na>,,unknown,
Peach Ice Tea,<NA>,AriZona,"en:beverages,en:tea-based-beverages,en:iced-teas",en:iced-teas,Iced teas,en:green-dot,<na>,en:denmark,<na>,,d,
Mandler ristede og saltede,<NA>,Salling,da:mandler-ristede-og-saltede,da:mandler-ristede-og-saltede,da:mandler-ristede-og-saltede,,<na>,en:denmark,<na>,,unknown,
Uraippu,<NA>,Kitchen Guerrilla Marinade,,,,,<na>,en:denmark,<na>,,unknown,
Watermelon,<NA>,,,,,,<na>,"en:denmark,en:united-states",<na>,,unknown,
Real mass weight gainer strawberry milkshake,<NA>,Gaspari nutrition,,,,,<na>,en:denmark,<na>,,unknown,
Truffles At Chocolat,<NA>,Lie Gourmet,,,,,<na>,en:denmark,<na>,,unknown,
Buffalo Chicken Wing Sauce,<NA>,Promos,,,,,<na>,en:denmark,<na>,,unknown,
chicken,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Natural Medjoul Dates,<NA>,RiftValley Farms,,,,,<na>,en:denmark,<na>,,unknown,
Toffee Caramel,<NA>,Wispy,,,,,<na>,en:denmark,<na>,,unknown,
Chocolate Orange Protein,<NA>,Wispy,,,,,<na>,en:denmark,<na>,,unknown,
Makrel Filet,<NA>,Gestus,,,,,<na>,en:denmark,<na>,,unknown,
Haribo Matador Mix,<NA>,Haribo,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies",en:candies,Candies,,<na>,en:denmark,<na>,,d,
Fiskekaker,<NA>,Rørvik,,,,,<na>,en:denmark,<na>,,unknown,
Citius,<NA>,Cult,,,,,<na>,en:denmark,<na>,,unknown,
mayonnaise,<NA>,,"en:condiments,en:sauces,en:mayonnaises",en:mayonnaises,Mayonnaises,,<na>,en:denmark,<na>,,d,
rooibos original,<NA>,Pickwick,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:rooibos,en:rooibos-mixes",en:rooibos-mixes,Rooibos mixes,"en:green-dot,en:rainforest-alliance",<na>,"en:czech-republic,en:denmark,en:hungary,en:netherlands,en:slovakia",<na>,,a-plus,
Tiqle sticks boisson goût fraise,<NA>,Tiqle,"en:beverages-and-beverages-preparations,en:beverages,en:dried-products,en:artificially-sweetened-beverages,en:dried-products-to-be-rehydrated,en:dietary-supplements,en:dehydrated-beverages",en:dehydrated-beverages,Dehydrated beverages,"en:low-or-no-sugar,en:no-sugar,fr:triman",<na>,"en:albania,en:algeria,en:andorra,en:argentina,en:australia,en:austria,en:belgium,en:canada,en:colombia,en:croatia,en:czech-republic,en:denmark,en:estonia,en:finland,en:france,en:germany,en:greece,en:hungary,en:iceland,en:ireland,en:italy,en:japan,en:jersey,en:liechtenstein,en:luxembourg,en:malta,en:mexico,en:peru,en:poland,en:slovakia,en:slovenia,en:spain,en:sweden,en:switzerland,en:united-kingdom,en:united-states",<na>,,unknown,
Protein Wafer,<NA>,Nutramino,,,,en:made-in-germany,<na>,en:denmark,<na>,,unknown,
Magnesium GLY-MAL,<NA>,Novo Vita,en:dietary-supplements,en:dietary-supplements,Dietary supplements,"en:vegetarian,en:vegan",<na>,"en:denmark,en:norway,en:sweden",<na>,,unknown,
Bondebrød,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Starbucks TripleShot Espresso,<NA>,Starbucks,,,,,<na>,en:denmark,<na>,,unknown,
Little Sumpin',<NA>,Lagunitas,"en:beverages,en:alcoholic-beverages,en:beers,en:amber-beers",en:amber-beers,Amber beers,"en:not-advised-for-specific-people,en:green-dot,en:not-advised-for-pregnant-women,en:18,en:drinkaware,en:no-car",<na>,"en:denmark,en:france,en:italy,en:netherlands,en:norway,en:spain,en:sweden,en:switzerland,en:united-kingdom",<na>,,c,
Butter Chicken,<NA>,Indian Dhaba,,,,,<na>,en:denmark,<na>,,unknown,
Smoothie Apple Banana Kiwi,<NA>,Good Gut,,,,,<na>,en:denmark,<na>,,unknown,
vanilla whey 100,<NA>,bodylab,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders",en:protein-powders,Protein powders,en:no-added-sugar,<na>,en:denmark,<na>,,unknown,
Köln,<NA>,,,,,en:no-added-sugar,<na>,en:denmark,<na>,,unknown,
Sats Protein Bar,<NA>,Sats,,,,,<na>,en:denmark,<na>,,unknown,
Huge whey chocolate peanut butter,<NA>,Huge supplements,,,,,<na>,en:denmark,<na>,,unknown,
White Wine Vinegar,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
ØGO basilikumpesto,<NA>,ØGO,"en:condiments,en:sauces,en:pestos",en:pestos,Pestos,"en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:it-bio-009",<na>,en:denmark,<na>,,b,
Ananas i stykker,<NA>,Harvest,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:canned-plant-based-foods,en:fruits-based-foods,en:fruits,en:canned-fruits,en:tropical-fruits,en:pineapple",en:pineapple,Pineapple,,<na>,en:denmark,<na>,,b,
Ekstra Jomfru Oliven Olie,<NA>,El Olivar,,,,,<na>,en:denmark,<na>,,unknown,
English Sauce,<NA>,Beauvais,,,,,<na>,en:denmark,<na>,,unknown,
Grill Hakkebøffer,<NA>,Rema1000,,,,,<na>,en:denmark,<na>,,unknown,
Udenlandske Kartofler,<NA>,Coop,,,,,<na>,en:denmark,<na>,,unknown,
Energy Snack Kakao Fudge,<NA>,Purepower,,,,,<na>,en:denmark,<na>,,unknown,
Wienerpølser,<NA>,Hanegal,,,,,<na>,en:denmark,<na>,,unknown,
Hytteost 4%,<NA>,Karolines køkken,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cottage-cheeses",en:cottage-cheeses,Cottage cheeses,,<na>,en:denmark,<na>,,unknown,
Cheasy,<NA>,Skyr m. vanilje,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fromages-blancs-petit-suisses-and-skyr,en:skyrs",en:skyrs,Skyrs,,<na>,en:denmark,<na>,,b,
Danskvand med brus,<NA>,Coop,"en:beverages-and-beverages-preparations,en:beverages,en:waters",en:waters,Waters,,<na>,en:denmark,<na>,,not-applicable,
Sojasauce,<NA>,Asian Kitchen,,,,,<na>,en:denmark,<na>,,unknown,
Chili Sauce,<NA>,Asien Kitchen,,,,,<na>,en:denmark,<na>,,unknown,
Skrabe Æg,<NA>,Gestus,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkornssandwich,<NA>,Coop,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,"en:keyhole,en:whole-grain",<na>,en:denmark,<na>,,unknown,
"Hytteost 1,5% Fedt",<NA>,Mammen,,,,,<na>,en:denmark,<na>,,unknown,
Naturli,<NA>,Mandel drik,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",en:plant-based-milk-alternatives,Plant-based milk alternatives,,<na>,en:denmark,<na>,,unknown,
