product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Ɓlomkålsris,<NA>,Frigodan,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske jordbær,<NA>,Frigodan,,,,,<na>,en:denmark,<na>,,unknown,
Skovbær,<NA>,Frigodan,,,,,<na>,en:denmark,<na>,,unknown,
Cool Smoothie - Red,<NA>,Frigodan,,,,,<na>,en:denmark,<na>,,unknown,
Barbecue sauce,<NA>,Coop,"en:condiments,en:sauces,en:barbecue-sauces",en:barbecue-sauces,Barbecue sauces,,<na>,en:denmark,<na>,,b,
Frikadelleblanding,<NA>,Frikalet,da:frikadelleb,da:frikadelleb,da:frikadelleb,,<na>,en:denmark,<na>,,unknown,
Bearnaisesauce,<NA>,Butchery,,,,,<na>,en:denmark,<na>,,unknown,
Grated carrots,<NA>,Dangrow Convinience,,,,"en:organic,en:eu-organic",<na>,en:denmark,<na>,,unknown,
Vinterkålsalat,<NA>,Dangrow Convenience,,,,,<na>,en:denmark,<na>,,unknown,
Grated beetroot,<NA>,Dangrow Convinience,,,,,<na>,en:denmark,<na>,,unknown,
Salat,<NA>,,"en:meals,en:prepared-salads",en:prepared-salads,Prepared salads,,<na>,en:denmark,<na>,,unknown,
Broccoli salat,<NA>,Rema1000,,,,,<na>,en:denmark,<na>,,unknown,
Salad Mix Korn Og Knas,<NA>,Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Rødder og kål med goma,<NA>,Møllegården,,,,,<na>,en:denmark,<na>,,unknown,
Håndsorterede gulerødder,<NA>,DANROOTS,,,,,<na>,en:denmark,<na>,,unknown,
Gulerod,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Danske brune champignon,<NA>,ØGO,,,,"en:organic,en:eu-organic",<na>,en:denmark,<na>,,unknown,
Sliced Mushrooms,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
jordbær,<NA>,Premieur,,,,en:keyhole,<na>,en:denmark,<na>,,unknown,
Champignon I Skiver,<NA>,Øgo,,,,,<na>,en:denmark,<na>,,unknown,
Smørbagt Hotdog,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:white-breads,en:wheat-breads",en:wheat-breads,Wheat breads,,<na>,en:denmark,<na>,,unknown,
Gigant Smash Burger,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkorns Burger,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Vikinge Rugbrød - Kohberg,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Yoghurt Boller,<NA>,Kolben,,,,,<na>,en:denmark,<na>,,unknown,
Grødboller,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:bread-rolls",en:bread-rolls,Bread rolls,,<na>,en:denmark,<na>,,unknown,
Solskins boller,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:bread-rolls",en:bread-rolls,Bread rolls,,<na>,en:denmark,<na>,,unknown,
